Run,costO,costS,Strategy,PI,RS
195,0.5,2,Concealers,7081.18,7.44
195,0.5,2,Revealers,7204.04,7.44
196,0.5,2,Concealers,8051.96,7.86
196,0.5,2,Revealers,7393.56,7.58
197,0.5,2,Concealers,7943,7.7
197,0.5,2,Revealers,8121.98,7.74
198,0.5,2,Concealers,8082.56,7.94
198,0.5,2,Revealers,8159,7.8
199,0.5,2,Concealers,7233.1,7.44
199,0.5,2,Revealers,7368.44,7.52
200,0.5,2,Concealers,7569.54,7.54
200,0.5,2,Revealers,7543.08,7.6
201,1,0,Concealers,7949.86,7.52
201,1,0,Revealers,5145.74,6.34
202,1,0,Concealers,6079.1,6.5
202,1,0,Revealers,3740.1,5.5
203,1,0,Concealers,6304.1,6.74
203,1,0,Revealers,4934.4,6.14
204,1,0,Concealers,7439.82,7.52
204,1,0,Revealers,6398.88,6.94
205,1,0,Concealers,7828.28,7.54
205,1,0,Revealers,5767.94,6.48
206,1,0,Concealers,5525.46,6.16
206,1,0,Revealers,3727.34,5.36
207,1,0,Concealers,7139.82,7.3
207,1,0,Revealers,6642,7.02
208,1,0,Concealers,8116.28,7.68
208,1,0,Revealers,6644.36,7.08
209,1,0,Concealers,7751.86,7.48
209,1,0,Revealers,5133.56,6.26
210,1,0,Concealers,8409.1,7.82
210,1,0,Revealers,6176.42,6.78
211,1,0,Concealers,6743.8,7.1
211,1,0,Revealers,7402.62,7.34
212,1,0,Concealers,7446.08,7.38
212,1,0,Revealers,6297.2,6.8
213,1,0,Concealers,8244.94,7.88
213,1,0,Revealers,6060.34,6.72
214,1,0,Concealers,6318.28,6.58
214,1,0,Revealers,4671.92,5.94
215,1,0,Concealers,4982.38,5.76
215,1,0,Revealers,3254.68,5.16
216,1,0,Concealers,5949.38,6.32
216,1,0,Revealers,3181.18,5.28
217,1,0,Concealers,8086.94,7.64
217,1,0,Revealers,6522.18,7.02
218,1,0,Concealers,6354.6,6.68
218,1,0,Revealers,5354.84,6.32
219,1,0,Concealers,7324.68,7.22
219,1,0,Revealers,6694.54,7.16
220,1,0,Concealers,7869.04,7.54
220,1,0,Revealers,5895.72,6.56
221,1,0.5,Concealers,6355.92,6.7
221,1,0.5,Revealers,5500.36,6.4
222,1,0.5,Concealers,8267.52,7.82
222,1,0.5,Revealers,6109.16,6.66
223,1,0.5,Concealers,6852.1,7.06
223,1,0.5,Revealers,4132.86,5.66
224,1,0.5,Concealers,7584.28,7.4
224,1,0.5,Revealers,5434.18,6.5
225,1,0.5,Concealers,7353.82,7.28
225,1,0.5,Revealers,4549.76,6.04
226,1,0.5,Concealers,8423.04,7.88
226,1,0.5,Revealers,6876.92,7.16
227,1,0.5,Concealers,8092.1,7.72
227,1,0.5,Revealers,5344.8,6.42
228,1,0.5,Concealers,7043.36,7.2
228,1,0.5,Revealers,7465.1,7.4
229,1,0.5,Concealers,6970.44,7.06
229,1,0.5,Revealers,4784.84,6.02
230,1,0.5,Concealers,7469.44,7.32
230,1,0.5,Revealers,6280.58,6.94
231,1,0.5,Concealers,6406.1,6.86
231,1,0.5,Revealers,5307.32,6.24
232,1,0.5,Concealers,7156.02,7.14
