Experiment,Run,Decrement,Strategy,PI,RS
1,178,TRUE,Concealers,5486.44,6.38
1,178,TRUE,Revealers,5877.98,6.58
1,179,TRUE,Concealers,4463.58,5.84
1,179,TRUE,Revealers,6075.2,6.54
1,180,TRUE,Concealers,6636.64,6.94
1,180,TRUE,Revealers,6645.74,7
1,181,TRUE,Concealers,5672.12,6.54
1,181,TRUE,Revealers,6720.06,7.02
1,182,TRUE,Concealers,7447.38,7.34
1,182,TRUE,Revealers,6326.16,6.76
1,183,TRUE,Concealers,7370.76,7.3
1,183,TRUE,Revealers,6625.28,6.96
1,184,TRUE,Concealers,3928.1,5.64
1,184,TRUE,Revealers,5822.84,6.32
1,185,TRUE,Concealers,7458.86,7.4
1,185,TRUE,Revealers,6371.72,6.96
1,186,TRUE,Concealers,5037.82,6.24
1,186,TRUE,Revealers,6369.64,6.78
1,187,TRUE,Concealers,6683.62,7
1,187,TRUE,Revealers,6019.8,6.68
1,188,TRUE,Concealers,6096.9,6.72
1,188,TRUE,Revealers,6801.26,7.1
1,189,TRUE,Concealers,5985.74,6.54
1,189,TRUE,Revealers,4960.44,6.3
1,190,TRUE,Concealers,6525,6.76
1,190,TRUE,Revealers,4192.64,5.74
1,191,TRUE,Concealers,5536.74,6.48
1,191,TRUE,Revealers,6299.54,6.8
1,192,TRUE,Concealers,6523.1,7
1,192,TRUE,Revealers,7299.9,7.3
1,193,TRUE,Concealers,6814.82,7.08
1,193,TRUE,Revealers,6881.8,7.08
1,194,TRUE,Concealers,5794.64,6.62
1,194,TRUE,Revealers,7338.48,7.2
1,195,TRUE,Concealers,6584.36,6.88
1,195,TRUE,Revealers,6785.18,7.12
1,196,TRUE,Concealers,6061.46,6.5
1,196,TRUE,Revealers,4344.66,5.82
1,197,TRUE,Concealers,5182.66,6.44
1,197,TRUE,Revealers,6401.72,6.98
1,198,TRUE,Concealers,5631.64,6.58
1,198,TRUE,Revealers,8018.22,7.7
1,199,TRUE,Concealers,6888.84,7.08
1,199,TRUE,Revealers,6636.5,7
1,200,TRUE,Concealers,5832.2,6.4
1,200,TRUE,Revealers,4867.22,6.02
2,1,FALSE,Concealers,7222.08,7.36
2,1,FALSE,Revealers,7224.44,7.32
2,2,FALSE,Concealers,7275.52,7.32
2,2,FALSE,Revealers,6441,6.96
2,3,FALSE,Concealers,7532.24,7.56
2,3,FALSE,Revealers,7452.88,7.44
