"Run","competitor_radius","search_radius","Strategy","PI","RS"
306,2,5,"Concealers",5626.8,6.26
306,2,5,"Revealers",4992.14,6.02
307,2,5,"Concealers",6635.96,6.46
307,2,5,"Revealers",4193.12,5.56
308,2,5,"Concealers",6796.98,6.84
308,2,5,"Revealers",5608.84,6.26
309,2,5,"Concealers",6985.86,6.66
309,2,5,"Revealers",4121.92,5.48
310,2,5,"Concealers",7284.02,7
310,2,5,"Revealers",5176.22,6.22
311,2,5,"Concealers",7180.68,7.16
311,2,5,"Revealers",7010.66,7.02
312,2,5,"Concealers",7543.04,7.18
312,2,5,"Revealers",5152.64,6.16
313,2,5,"Concealers",8051,7.44
313,2,5,"Revealers",5287.92,6.22
314,2,5,"Concealers",7054.8,6.66
314,2,5,"Revealers",3821.16,5.56
315,2,5,"Concealers",7484.56,6.96
315,2,5,"Revealers",4067.22,5.66
316,2,5,"Concealers",5529.02,6.14
316,2,5,"Revealers",4485.06,5.54
317,2,5,"Concealers",5465.38,5.72
317,2,5,"Revealers",2827.28,4.86
318,2,5,"Concealers",5587.18,6.18
318,2,5,"Revealers",3984.88,5.34
319,2,5,"Concealers",7545.06,7.44
319,2,5,"Revealers",6903.54,6.74
320,2,5,"Concealers",6194.1,6.72
320,2,5,"Revealers",4804.56,5.76
321,2,5,"Concealers",6751.04,6.4
321,2,5,"Revealers",4130.5,5.52
322,2,5,"Concealers",7450.44,7.26
322,2,5,"Revealers",6690.98,6.8
323,2,5,"Concealers",8411.58,7.5
323,2,5,"Revealers",5324.58,6.22
324,2,5,"Concealers",5552.44,6.18
324,2,5,"Revealers",4149.84,5.48
325,2,5,"Concealers",7776.62,7.32
325,2,5,"Revealers",6004.68,6.6
326,2,5,"Concealers",6831.1,6.52
326,2,5,"Revealers",4477.16,5.82
327,2,5,"Concealers",8026.28,7.42
327,2,5,"Revealers",6633.98,6.94
328,2,5,"Concealers",5095.04,5.84
328,2,5,"Revealers",3688.44,5.3
329,2,5,"Concealers",4537.98,5.24
329,2,5,"Revealers",3691.12,4.98
330,2,5,"Concealers",5719.98,6.24
330,2,5,"Revealers",5025.28,5.8
331,2,5,"Concealers",7704.02,7.34
