"BehaviorSpace results (NetLogo 6.1.0)"
"OvModel_updatedForNetlogo6.nlogo"
"Experiment 3 (Aggression Towards Ovulating)"
"04/30/2020 19:31:52:576 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","1","1","1","1","2","2","2","2"
"prop_m_promiscuity","20",,,,"20",,,
"f_detectOv?","true",,,,"true",,,
"sd_female_MV","10",,,,"10",,,
"num_males","100",,,,"100",,,
"competitor_radius","2",,,,"2",,,
"search_radius","2",,,,"2",,,
"ad_decay","0.01",,,,"0.01",,,
"initial_f_mod","1.25",,,,"1.25",,,
"costO_aggress","10",,,,"10",,,
"AcSig_num","50",,,,"50",,,
"FertConceal_num","50",,,,"50",,,
"decrement","true",,,,"false",,,
"prop_f_aggress","100",,,,"100",,,
"show-males_on_patch?","false",,,,"false",,,
,"100.4","175.72","0","0.06","62.8","167.4","0","0.04"
,"100.94","176.68","0","0.06","63.16","167.9","0","0.04"
,"101.5","176.94","0","0.06","63.5","168.42","0","0.04"
,"102.08","177.22","0","0.06","63.88","168.86","0","0.04"
,"102.56","177.54","0","0.06","64.3","169.34","0","0.04"
,"103.16","178.5","0","0.06","64.66","170.54","0","0.04"
,"103.7","178.76","0","0.06","65.08","171.74","0","0.04"
,"104.24","179.06","0","0.06","65.46","172.22","0","0.04"
,"104.84","179.32","0","0.06","65.82","173.44","0","0.04"
,"105.36","179.66","0","0.06","66.22","174.56","0","0.04"
,"105.9","180.64","0","0.06","66.56","175.02","0","0.04"
,"106.44","180.96","0","0.06","66.86","176.26","0","0.04"
,"107","181.96","0","0.06","67.22","176.7","0","0.04"
,"107.56","182.24","0","0.06","67.58","177.22","0","0.04"
,"108.14","183.18","0","0.06","67.94","177.68","0","0.04"
,"108.66","183.5","0","0.06","68.3","178.84","0","0.04"
,"109.22","183.8","0","0.06","68.62","179.34","0","0.04"
,"109.8","184.06","0","0.06","69.02","179.88","0","0.04"
,"110.38","184.34","0","0.06","69.4","180.42","0","0.04"
,"110.94","185.3","0","0.06","69.82","180.92","0","0.04"
,"111.5","185.62","0","0.06","70.3","181.36","0","0.04"
,"111.98","186","0","0.06","70.7","181.88","0","0.04"
,"112.58","186.94","0","0.06","71.1","182.34","0","0.04"
,"113.1","187.3","0","0.06","71.46","182.8","0","0.04"
,"113.64","187.64","0","0.06","71.86","183.32","0","0.04"
,"114.26","187.9","0","0.06","72.16","183.84","0","0.04"
,"114.82","188.22","0","0.06","72.58","184.34","0","0.04"
,"115.36","188.56","0","0.06","72.92","184.84","0","0.04"
,"115.9","189.58","0","0.06","73.28","185.32","0","0.04"
,"116.44","189.9","0","0.06","73.64","185.8","0","0.04"
,"116.98","190.88","0","0.06","74.02","186.26","0","0.04"
,"117.54","191.18","0","0.06","74.36","186.78","0","0.04"
,"118.08","192.2","0","0.06","74.68","187.3","0","0.04"
,"118.66","192.54","0","0.06","75.04","187.78","0","0.04"
,"119.22","193.54","0","0.06","75.46","188.28","0","0.04"
,"119.8","193.88","0","0.06","75.82","188.74","0","0.04"
,"120.36","194.88","0","0.06","76.16","189.22","0","0.04"
,"120.92","195.24","0","0.06","76.6","189.7","0","0.04"
,"121.46","196.26","0","0.06","76.96","190.16","0","0.04"
